pub_date	title	venue	excerpt	citation	url_slug	paper_url
1/1/2018	Moving flood risk modelling forwards	Nature Climate Change		"Koks, E. (2018). Moving flood risk modelling forwards. Nature Climate Change, 1"	paper-title-number-1	
1/1/2018	Economic Impacts of Irrigation Constrained Agriculture in the Lower Po Basin	Water Economics & Policy		"Perez-Blanco, C. D., Koks, E. E., Calliari, E., & Mysiak, J. (2018). Economic Impacts of Irrigation-Constrained Agriculture in the Lower Po Basin. Water Economics and Policy,4(01), 1750003."	paper-title-number-1	
1/1/2017	"Adaptation to Sea Level Rise: A Multidisciplinary Analysis for Ho Chi Minh City, Vietnam"	Water Resources Research		"Scussolini, P., Tran, T. T. V., Koks, E., Diaz-Loaiza, A., Ho, P. L., & Lasage, R. (2017). Adaptation to sea level rise: A multidisciplinary analysis for Ho Chi Minh City, Vietnam. Water Resources Research, 53(12), 10841-10857."	paper-title-number-2	
1/1/2017	Household migration in disaster impact analysis: incorporating behavioural responses to risk	Natural Hazards		"Husby, T. G., & Koks, E. E. (2017). Household migration in disaster impact analysis: incorporating behavioural responses to risk. Natural Hazards, 87(1), 287-305."	paper-title-number-3	
1/1/2016	A multiregional impact assessment model for disaster analysis. 	Economic Systems Research		"Koks, E. E., & Thissen, M. (2016). A multiregional impact assessment model for disaster analysis. Economic Systems Research, 28(4), 429-449."	paper-title-number-4	
1/1/2016	Regional disaster impact analysis: comparing input-output and computable general equilibrium models	Natural Hazards & Earth System Sciences		"Koks, E. E., Carrera, L., Jonkeren, O., Aerts, J. C., Husby, T. G., Thissen, M. & Mysiak, J. (2016). Regional disaster impact analysis: comparing input output and computable general equilibrium models. Natural Hazards and Earth System Sciences, 16(8), 1911-1924."	paper-title-number-6	
1/1/2015	Integrated direct and indirect flood risk modeling: development and sensitivity analysis	Risk Analysis		"Koks, E. E., Bockarjova, M., de Moel, H., & Aerts, J. C. (2015). Integrated direct and indirect flood risk modeling: development and sensitivity analysis. Risk analysis, 35(5), 882-900."	paper-title-number-7	
1/1/2015	"Combining hazard, exposure and social vulnerability to provide lessons for flood risk management"	Environmental Science & Policy		"Koks, E. E., Jongman, B., Husby, T. G., & Botzen, W. J. (2015). Combining hazard, exposure and social vulnerability to provide lessons for flood risk management. environmental science & policy, 47, 42-52."	paper-title-number-8	
1/1/2014	Increasing flood exposure in the Netherlands: implications for risk financing	Natural Hazards & Earth System Sciences		"Jongman, B., Koks, E. E., Husby, T. G., & Ward, P. J. (2014). Increasing flood exposure in the Netherlands: implications for risk financing. Natural Hazards and Earth System Sciences, 14(5), 1245-1255."	paper-title-number-9	
1/1/2014	Effect of spatial adaptation measures on flood risk: study of coastal floods in Belgium	Regional Environmental Change		"Koks, E. E., de Moel, H., Aerts, J. C., & Bouwer, L. M. (2014). Effect of spatial adaptation measures on flood risk, study of coastal floods in Belgium. Regional environmental change, 14(1), 413-425."	paper-title-number-10	
